Township,Median Household Income ($),Median Household Income ($): MOE,Median Family Income ($),Median Family Income ($): MOE,Per Capita Income ($),Per Capita Income ($): MOE,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,Assessed population,Assessed population: MOE,Percent below poverty (%),Percent below poverty (%): MOE,Total Population,Total Population: MOE,White Alone,White Alone: MOE,Black or African American Alone,Black or African American Alone: MOE,American Indian and Alaska Native Alone,American Indian and Alaska Native Alone: MOE,Asian Alone,Asian Alone: MOE,Native Hawaiian and Other Pacific Islander Alone,Native Hawaiian and Other Pacific Islander Alone: MOE,Some Other Race Alone,Some Other Race Alone: MOE,Two or More Races,Two or More Races: MOE,Hispanic or Latino,Hispanic or Latino: MOE,Not Hispanic or Latino,Not Hispanic or Latino: MOE,Less than $100,Less than $100: MOE,$100-$149,$100-$149: MOE,$150-$199,$150-$199: MOE,$200-$249,$200-$249: MOE,$250-$299,$250-$299: MOE,$300-$349,$300-$349: MOE,$350-$399,$350-$399: MOE,$400-$449,$400-$449: MOE,$450-$499,$450-$499: MOE,$500-$549,$500-$549: MOE,$550-$599,$550-$599: MOE,$600-$649,$600-$649: MOE,$650-$699,$650-$699: MOE,$700-$749,$700-$749: MOE,$750-$799,$750-$799: MOE,$800-$899,$800-$899: MOE,$900-$999,$900-$999: MOE,$1000-$1249,$1000-$1249: MOE,$1250-$1499,$1250-$1499: MOE,$1500-$1999,$1500-$1999,$2000-$2499,$2000-$2499: MOE,$2500-$2999,$2500-$2999: MOE,$3000-$3499,$3000-$3499: MOE,$3500 or more,$3500 or more: MOE,"Less than $10,000","Less than $10,000: MOE","$10,000-$14,999","$10,000-$14,999: MOE","$15,000-$19,999","$15,000-$19,999: MOE","$20,000-$24,999","$20,000-$24,999: MOE","$25,000-$29,999","$25,000-$29,999: MOE","$30,000-$34,999","$30,000-$34,999: MOE","$35,000-$39,999","$35,000-$39,999: MOE","$40,000-$49,999","$40,000-$49,999: MOE","$50,000-$59,999","$50,000-$59,999: MOE","$60,000-$69,999","$60,000-$69,999: MOE","$70,000-$79,999","$70,000-$79,999: MOE","$80,000-$89,999","$80,000-$89,999: MOE","$90,000-$99,999","$90,000-$99,999: MOE","$100,000-$124,999","$100,000-$124,999: MOE","$125,000-$149,999","$125,000-$149,999: MOE","$150,000-$174,999","$150,000-$174,999: MOE","$175,000-$199,999","$175,000-$199,999: MOE","$200,000-$249,999","$200,000-$249,999: MOE","$250,000-$299,999","$250,000-$299,999: MOE","$300,000-$399,999","$300,000-$399,999: MOE","$400,000-$499,999","$400,000-$499,999: MOE","$500,000-$749,999","$500,000-$749,999: MOE","$750,000-$999,999","$750,000-$999,999: MOE","$1,000,000-$1,499,999","$1,000,000-$1,499,999: MOE","$1,500,000-$1,999,999","$1,500,000-$1,999,999: MOE","$2,000,000 or more","$2,000,000 or more: MOE"
Ayers,"63,594","18,653","70,417","12,144","42,674","15,879",865,929,789,747,679,636,571,504,503,481,441,453,470,83,15.3,9.3,480,87,475,87,1,3,0,11,3,4,0,11,0,11,1,2,9,13,471,84,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,2,3,10,13,1,3,0,11,7,10,5,7,5,7,2,3,22,13,7,5,7,7,20,14,14,9,32,19,12,11,15,12,9,12,4,4,0,11,0,11,8,11,0,11,1,2,0,11,0,11,0,11
Brown,"58,162","10,504","66,750","7,524","26,458","2,112","1,544","1,396","1,551","1,376","1,414","1,480",1611,1837,1616,1488,1495,1955,"1,942",289,6.9,3.9,"1,949",290,"1,903",279,7,9,0,11,2,5,0,11,0,11,37,28,42,40,"1,907",286,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,10,15,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,16,18,14,20,0,11,2,3,1,2,2,3,6,6,28,24,23,26,9,7,20,12,26,16,28,17,81,38,86,31,80,28,40,22,54,28,18,15,22,19,0,11,0,11,0,11,0,11,0,11,0,11
Champaign,"74,541","6,820","98,824","5,439","39,241","2,722","9,966","13,353","16,942","2,116","2,294","5,457",2705,6592,8184,8864,11591,10834,"11,130",106,9.1,2.7,"11,269",52,"8,614",316,486,193,0,17,"1,686",282,0,17,55,54,428,166,678,319,"10,591",320,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,22,33,0,17,0,17,0,17,0,17,0,17,29,47,29,45,30,47,32,52,0,17,0,17,9,15,0,17,49,30,10,14,12,19,8,12,0,17,0,17,0,17,0,17,0,17,0,17,21,23,45,35,70,50,158,76,207,72,323,96,500,94,886,134,381,95,269,74,106,36,86,36,15,15,8,11,0,17,8,13
City of Champaign,"44,638","1,881","73,688","1,994","28,406","1,253",-,-,-,"19,151","21,957","35,935",49583,56837,58133,63502,67959,81055,"77,991",446,26.9,1.7,"85,710",42,"56,350",826,"15,137",842,90,61,"10,634",613,0,26,987,328,"2,512",531,"5,489",523,"80,221",528,29,48,0,26,0,26,37,59,0,26,22,34,22,35,137,95,138,78,88,77,224,114,189,137,133,106,120,79,101,59,291,144,168,122,290,177,48,57,55,46,37,35,69,67,102,106,0,26,135,62,118,63,26,31,32,34,8,13,35,32,93,62,174,91,157,77,327,94,338,112,487,145,607,141,2407,356,2063,303,2150,283,1333,243,1659,239,880,196,1196,203,382,104,354,92,94,63,103,70,0,26,0,26
Colfax,"101,513","80,732",N/A,N/A,"45,553","13,865",901,800,727,728,590,528,459,412,355,271,250,266,85,70,16.5,33.9,85,70,85,70,0,11,0,11,0,11,0,11,0,11,0,11,18,26,67,54,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,45,69,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,14,21,0,11,0,11,0,11,19,28,18,26,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
Compromise,"63,929","8,245","82,778","16,475","31,925","2,746","1,576","1,557","1,569","1,444","1,301","1,371",1454,1707,1588,1525,1422,1463,"1,484",174,6.5,2.7,"1,495",175,"1,461",180,19,20,1,2,3,4,0,11,0,11,11,11,31,22,"1,464",169,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,4,4,0,11,2,5,0,11,5,6,0,11,2,3,3,4,24,22,24,10,25,16,19,13,31,14,66,27,57,17,98,29,58,24,66,31,14,10,21,11,3,4,4,5,0,11,0,11,0,11,0,11
Condit,"83,125","21,477","81,250","40,048","44,344","14,260",777,689,649,608,556,476,449,407,477,467,511,500,565,163,1.8,2.7,565,163,558,165,0,11,0,11,0,11,0,11,0,11,7,10,0,11,565,163,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,3,4,0,11,3,4,43,22,22,15,38,25,63,51,7,12,6,11,8,11,0,11,0,11,0,11,0,11
Crittenden,122786,25591,122786,25591,"42,441","10,352",820,683,704,599,522,480,433,384,312,315,345,325,262,90,7.3,9.8,262,90,253,87,0,11,0,11,9,13,0,11,0,11,0,11,8,12,254,90,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,6,8,0,11,0,11,0,11,0,11,0,11,7,11,8,11,0,11,37,46,0,11,17,17,0,11,18,17,0,11,0,11,0,11,0,11
Cunningham,"34,273","1,928","63,223","5,828","22,256","1,416",-,-,-,-,"14,064","22,450",27294,33976,35978,36344,37362,41250,"34,958",502,31.9,2.1,"42,141",59,"24,997",663,"7,064",644,122,74,"8,276",553,79,120,214,108,1389,303,"2,238",330,"39,903",328,0,23,0,23,0,23,0,23,0,23,0,23,0,23,99,90,74,85,56,54,234,147,192,130,122,89,85,65,49,54,156,111,47,46,192,107,42,57,0,23,0,23,0,23,0,23,26,42,74,60,48,46,22,25,0,23,2,5,5,14,0,23,43,35,60,50,185,118,515,166,250,104,411,136,664,172,899,175,902,216,444,123,612,115,351,104,342,115,148,59,116,66,27,34,0,23,0,23,0,23
East Bend,"54,653","19,937","62,721","21,704","31,664","11,059","1,113",879,806,815,749,740,721,821,817,814,880,584,686,189,14,14.4,686,189,686,189,0,11,0,11,0,11,0,11,0,11,0,11,0,11,686,189,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,8,11,0,11,0,11,0,11,0,11,0,11,0,11,27,38,0,11,0,11,16,16,0,11,0,11,11,15,36,34,16,17,10,15,40,25,87,58,0,11,0,11,0,11,0,11,0,11,0,11,0,11
Harwood,"62,188","21,124","74,861","8,870","30,553","7,971",750,737,617,645,590,568,519,471,625,589,618,623,558,140,15.9,10,633,166,597,167,36,35,0,11,0,11,0,11,0,11,0,11,85,83,548,130,0,11,0,11,0,11,8,13,8,13,0,11,0,11,6,9,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,13,9,0,11,0,11,0,11,0,11,0,11,0,11,0,11,6,4,2,3,5,8,0,11,0,11,25,19,14,13,15,9,27,16,22,14,18,10,2,3,3,4,0,11,0,11,0,11,0,11,0,11
Hensley,"41,375","21,709","40,125","27,532","26,363","8,768",610,596,577,569,520,495,478,629,1254,1073,1111,1278,"1,123",309,9.5,9.5,"1,123",309,898,321,179,148,0,11,33,51,0,11,0,11,13,23,0,11,"1,123",309,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,26,42,0,11,0,11,44,69,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,13,20,5,11,15,20,0,11,40,40,27,35,71,37,28,23,18,19,45,27,41,39,49,53,0,11,0,11,0,11,0,11,0,11,0,11
Kerr,"103,571","23,991","100,313","3,577","36,898","3,643",427,418,349,368,290,263,231,225,177,200,173,163,241,123,0,10.8,241,123,241,123,0,11,0,11,0,11,0,11,0,11,0,11,0,11,241,123,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,3,4,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,3,4,9,15,0,11,3,4,12,8,11,11,19,20,3,5,0,11,0,11,0,11,0,11,0,11
Ludlow,"37,904","10,585","53,348","21,947","22,893","3,329","1,060","1,530","1,418","1,463","1,651","4,176",4149,5750,5114,4744,4766,4278,"4,300",25,21.7,6.7,"4,300",25,"3,288",477,341,244,24,29,230,215,0,11,273,383,144,163,572,422,"3,728",425,0,11,0,11,0,11,0,11,47,73,0,11,11,12,0,11,0,11,7,11,36,56,14,10,0,11,5,8,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,112,66,2,3,17,23,0,11,8,9,6,7,2,3,12,14,76,57,53,51,94,52,46,43,23,30,220,110,99,53,146,77,71,41,20,27,15,12,27,22,22,31,0,11,0,11,0,11,0,11,0,11
Mahomet,"82,402","11,024","98,201","9,343","36,420","2,880","1,277","1,329","1,209","1,328","1,369","1,614",2185,3862,6909,8440,10113,12623,"13,447",25,6.2,2.5,"13,455",23,"12,814",433,277,410,9,15,100,91,30,37,0,17,225,145,648,287,"12,807",291,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,41,61,0,17,68,107,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,121,59,107,99,0,17,49,40,0,17,4,10,58,49,14,17,12,20,19,24,60,53,50,53,11,21,73,51,316,104,446,114,565,130,742,187,493,167,473,153,115,64,155,90,29,39,0,17,0,17,0,17
Newcomb,"84,286","20,597","101,750","13,846","45,487","7,777",854,744,755,643,664,529,526,617,805,921,1004,1292,"1,245",248,0.5,0.7,"1,245",248,"1,245",248,0,11,0,11,0,11,0,11,0,11,0,11,0,11,"1,245",248,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,8,12,0,11,13,14,3,4,48,26,46,45,68,35,18,20,120,53,19,18,97,46,19,14,14,16,0,11,9,13,0,11,0,11
Ogden,"65,156","13,814","76,912","8,050","33,435","4,127","1,392","1,389","1,371","1,283","1,208","1,217",1288,1373,1574,1397,1601,1680,"1,588",206,4,2,"1,591",209,"1,569",202,0,11,1,2,7,10,0,11,0,11,14,17,12,15,"1,579",210,0,11,0,11,7,11,0,11,0,11,5,7,0,11,0,11,1,3,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,6,10,0,11,0,11,0,11,0,11,0,11,0,11,2,4,6,6,0,11,0,11,0,11,0,11,3,5,0,11,11,16,15,13,12,11,40,19,36,16,103,31,89,31,55,22,42,28,56,26,21,16,39,21,20,24,10,12,0,11,0,11,0,11,0,11
Pesotum,"67,500","14,454","82,969","11,836","28,414","2,754","1,094","1,096","1,128",998,872,858,854,864,994,931,849,845,786,210,3.3,3.4,788,210,686,170,2,3,0,11,2,4,15,22,2,4,81,98,97,119,691,170,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,4,5,2,3,0,11,0,11,0,11,9,11,0,11,0,11,5,9,2,4,21,14,13,8,34,25,69,24,19,11,27,15,59,70,2,3,18,22,12,20,0,11,0,11,0,11,0,11,0,11,0,11
Philo,"86,953","14,979","92,841","10,029","35,366","3,875","1,175","1,239","1,169","1,104","1,005","1,021",1211,1453,1483,1480,1768,1954,"2,042",290,4.8,4.6,"2,052",291,"2,007",285,0,11,0,11,6,4,0,11,28,45,11,12,65,85,"1,987",293,0,11,0,11,0,11,0,11,0,11,0,11,9,15,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,3,4,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,3,4,0,11,0,11,0,11,3,5,0,11,0,11,3,4,0,11,6,7,10,13,88,25,106,34,158,58,58,31,47,18,50,32,25,12,13,9,3,5,16,23,2,5,0,11,0,11
Rantoul,"47,048","3,318","54,369","2,568","22,453","2,363","2,365","1,995","2,252","3,137","6,187","11,906",20798,22568,18139,15691,11257,11273,"10,788",338,17.5,3.5,"11,285",27,"8,186",481,"2,432",456,0,17,89,81,4,6,89,94,485,240,968,359,"10,317",359,0,17,0,17,0,17,0,17,0,17,36,58,20,30,8,12,9,14,90,82,43,50,0,17,34,46,48,44,22,33,6,12,0,17,8,12,0,17,23,35,27,42,0,17,0,17,0,17,33,19,57,35,13,12,33,43,3,4,71,43,35,31,147,68,122,65,162,58,218,65,327,107,184,77,369,112,177,74,142,55,66,50,54,30,25,25,34,18,9,12,5,7,5,6,0,17,0,17,3,4
Raymond,"44,009","4,993","44,655","20,569","20,718","5,829","1,093","1,052",973,942,837,731,670,581,529,459,437,418,385,141,10.6,7.1,395,146,389,146,0,11,0,11,0,11,0,11,0,11,6,7,5,7,390,146,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,9,8,5,5,3,3,3,4,3,4,7,5,13,13,6,6,2,3,4,4,0,11,0,11,18,18,35,34,0,11,4,5,9,12,0,11,0,11,0,11,0,11,0,11,0,11,0,11
Sadorus,"71,429","23,805","88,125","28,622","34,365","7,974","1,757","1,688","1,644","1,492","1,437","1,441",1263,1296,1189,1126,1039,967,"1,225",391,4.9,2.7,"1,229",391,"1,222",391,0,11,1,2,0,11,0,11,0,11,6,8,2,4,"1,227",391,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,4,7,4,6,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,1,3,4,6,0,11,3,4,5,8,5,6,0,11,10,7,6,5,8,9,25,13,34,18,58,28,114,82,15,11,23,23,34,26,7,7,4,7,13,18,0,11,0,11,0,11,0,11,0,11,0,11
St. Joseph,"83,485","6,507","92,469","11,792","31,508","2,192","1,491","1,406","1,508","1,467","1,435","1,536",1842,2494,3612,3694,4611,5876,"5,887",38,4.6,2.2,"5,908",20,"5,756",119,2,4,11,17,79,84,0,15,21,32,39,43,55,63,"5,853",67,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,14,21,13,21,12,17,0,15,0,15,0,15,0,15,14,22,0,15,16,24,14,21,99,62,90,56,99,54,319,121,306,104,255,100,305,118,129,69,200,110,24,27,0,15,0,15,0,15,0,15,0,15
Scott,"55,865","7,195","82,625","29,728","36,555","9,987","1,026",984,"1,028",988,928,974,972,1181,1094,1059,1157,1258,"1,134",238,20.5,10.9,"1,137",239,"1,076",236,15,16,2,3,38,45,0,11,0,11,6,12,22,38,"1,115",234,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,4,7,23,35,4,7,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,18,15,7,10,0,11,2,3,0,11,0,11,0,11,2,3,42,50,1,3,4,5,11,10,7,9,52,25,52,30,28,20,35,23,51,43,21,23,18,19,0,11,0,11,1,3,0,11,0,11,0,11
Sidney,"71,827","7,824","80,208","14,688","34,399","4,389","1,452","1,303","1,383","1,306","1,261","1,203",1215,1378,1358,1521,1609,1733,"1,858",181,3.9,2.3,"1,869",180,"1,825",185,28,19,0,11,5,7,0,11,8,9,3,6,13,11,"1,856",181,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,4,6,3,5,3,5,0,11,23,18,7,7,37,24,25,16,96,35,106,35,64,27,79,30,71,33,26,20,36,20,0,11,17,12,3,5,0,11,0,11,0,11
Somer,"59,224","21,464","92,000","49,113","35,330","7,961",940,866,783,797,780,963,1081,1321,1238,1282,1421,1268,891,192,9.1,9.3,891,192,877,192,0,11,0,11,0,11,0,11,0,11,14,16,31,34,860,182,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,5,7,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,5,11,0,11,31,33,16,24,19,28,28,25,41,34,53,47,36,25,33,27,47,28,5,7,0,11,0,11,10,16,0,11,0,11,0,11
South Homer,"61,500","10,135","75,313","11,056","29,241","2,979","1,821","1,655","1,524","1,431","1,488","1,466",1707,1722,1617,1624,1585,1601,"1,656",188,10,5.3,"1,660",188,"1,659",188,0,11,1,2,0,11,0,11,0,11,0,11,4,6,"1,656",188,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,11,17,0,11,11,17,0,11,0,11,10,16,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,4,6,0,11,0,11,0,11,3,4,6,8,0,11,19,19,21,11,19,14,26,13,44,20,58,27,118,38,78,27,70,43,22,17,23,16,22,14,23,16,8,12,0,11,0,11,0,11,0,11,0,11
Stanton,"88,732","3,482","89,179","3,064","34,634","8,264",865,759,731,629,559,509,487,546,513,474,474,505,762,246,5.2,8,762,246,747,253,0,11,6,10,0,11,0,11,0,11,9,16,15,25,747,253,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,16,26,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,32,45,31,34,0,11,0,11,5,7,21,25,17,15,54,50,21,15,10,12,27,20,0,11,0,11,0,11,15,22,0,11,0,11
Tolono,"67,730","9,173","85,769","12,638","31,792","4,394","1,663","1,379","1,410","1,371","1,366","1,588",2190,2853,3410,3574,3757,5270,"5,400",34,17.4,6.3,"5,430",18,"4,937",225,272,164,0,15,89,74,0,15,85,129,47,44,193,155,"5,237",155,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,35,56,0,15,0,15,0,15,0,15,0,15,0,15,35,55,0,15,0,15,0,15,0,15,0,15,36,44,10,16,0,15,31,49,0,15,0,15,47,53,13,20,0,15,33,24,46,36,23,27,15,22,326,87,117,69,148,64,110,71,213,87,229,114,52,49,18,21,13,20,0,15,12,18,12,17,0,15
Urbana,"43,906","5,490","53,269","10,266","26,882","3,074","6,948","9,378","11,393","14,728","2,005","3,489",3490,8620,8795,8675,8063,7451,"7,288",48,21.4,7,"7,310",27,"5,857",408,912,325,55,49,190,167,0,15,60,71,236,147,650,292,"6,660",294,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,56,65,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,329,109,38,41,31,51,113,77,55,48,88,75,25,38,90,54,25,26,79,57,180,89,107,70,251,124,212,87,240,103,96,54,53,40,158,75,25,27,74,52,7,11,38,27,33,49,0,15,0,15,0,15
