Township,<5 (%),<5: MOE,5-9 (%),5-9: MOE,10-14 (%),10-14: MOE,15-19 (%),15-19: MOE,20-24 (%),20-24: MOE,25-29 (%),25-29: MOE,30-34 (%),30-34: MOE,35-39 (%),35-39: MOE,40-44 (%),40-44: MOE,45-49 (%),45-49: MOE,50-54 (%),50-54: MOE,55-59 (%),55-59: MOE,60-64 (%),60-64: MOE,65-69 (%),65-69: MOE,70-74 (%),70-74: MOE,75-79 (%),75-79: MOE,80-84 (%),80-84: MOE,85+ (%),85+: MOE,Less than 9th grade,Less than 9th grade: MOE,"9th-12th grade, no diploma","9th-12th grade, no diploma: MOE",High school graduate or equivalency,High school graduate or equivalency: MOE,"Some college, no degree","Some college, no degree: MOE",Associate's degree,Associate's degree: MOE,Bachelor's degree,Bachelor's degree: MOE,Graduate or professional degree,Graduate or professional degree: MOE
Ayers,2.9,2.3,4.6,3.3,4.8,2.4,7.3,3.3,6.5,4.2,3.5,2.1,5.4,2.3,6.5,3.3,5.4,3.2,4.8,2.6,5.8,2.8,6,3.1,10.4,5.7,13.5,6.1,2.3,1.5,5.2,4.7,4.6,4.9,0.4,0.9,0,7.4,1.7,2,41.7,11.8,31.3,9,3.4,2.7,9.6,4.4,12.4,7.7
Brown,8.8,2.6,9.2,2.3,8,2.1,5.4,2.3,8.8,3.6,8.7,2.6,4.6,1.5,6.8,2.7,6.2,1.8,6.4,2.6,5.4,1.7,3.7,1.6,4.4,2.1,3.1,1.3,3,1.9,3.7,1.7,1.5,0.9,2.2,1.3,0.7,0.6,2.4,1.6,33.9,6,30.5,5.9,10.1,2.9,16.3,4.5,6.1,2.7
Champaign,7.2,1.5,5.4,1.5,5.4,1.2,4.5,1.3,6.6,2.3,6.2,1.3,8.7,1.6,7.2,1.6,4.9,1.1,5.5,1.3,4.6,1.2,5,1.3,7.4,1.4,6.3,1.3,4.8,1,4.7,1.1,2.1,0.6,3.5,1.2,1.3,0.9,1.9,0.9,12.2,2.2,16.9,2.9,5.6,1.4,31.6,2.8,30.6,3.1
City of Champaign,5.5,0.5,4.8,0.4,4.3,0.5,9.9,0.6,21.4,0.8,9.5,0.6,6.9,0.4,6.4,0.5,3.8,0.4,4.6,0.4,4.8,0.4,4.7,0.4,4.5,0.4,2.7,0.3,2,0.3,1.7,0.3,1.2,0.3,1.2,0.2,1.7,0.4,2.9,0.5,17.5,1.4,19.1,1.6,7.8,0.9,24,1.5,27,1.5
Colfax,0,27.1,0,27.1,0,27.1,0,27.1,0,27.1,0,27.1,0,27.1,0,27.1,0,27.1,0,27.1,16.5,33.9,43.5,53.4,18.8,21.4,21.2,22.9,0,27.1,0,27.1,0,27.1,0,27.1,0,27.1,0,27.1,0,27.1,78.8,26.5,0,27.1,0,27.1,21.2,26.5
Compromise,7.1,2.1,6,2.2,6,2.2,5,2.3,3.7,1.6,5.6,1.8,4.6,2.2,7.6,2.6,7.4,4.4,8.1,2.3,7.2,2.4,5.6,1.5,5.3,1.8,8,3.4,4.1,1.4,4.9,2.1,2.7,1.3,1.2,0.6,0.5,0.5,5.2,3.1,38.4,6.9,27.8,4.3,9.4,2.5,10.7,3.1,8.1,5.7
Condit,3.4,3.2,6,4.3,4.2,4.6,11.3,9.1,3.2,3.5,4.1,4.2,2.8,4.1,2.5,3.1,8.5,5,10.4,7.1,5.8,4.6,17.2,11.3,7.3,6.5,3.2,3,4.2,3.4,0,4.7,1.8,2,4.1,4.8,0,6.5,0,6.5,25.4,9.2,31.3,7.7,17,9.7,16.7,8.2,9.6,7
Crittenden,0,10,0,10,0,10,2.7,3.7,3.4,4.8,8.8,7.9,0,10,3.1,4,0,10,9.9,7.1,3.1,4.4,14.5,14.9,14.1,12.3,30.5,29,0,10,4.2,5.9,5.7,8.6,0,10,4.5,6.3,0,10.6,27.2,16.2,39,29.2,5.3,7.3,13.4,11.1,10.6,12.2
Cunningham,3.5,0.5,2.2,0.5,3.7,0.7,16.5,1,26.2,1.2,10.5,0.9,6.6,0.8,4,0.6,3.9,0.7,3.7,0.6,3.5,0.6,3.7,0.6,3.4,0.5,2.4,0.5,1.7,0.6,1.2,0.3,1.2,0.3,2.1,0.4,1.4,0.7,3.3,1.1,17.4,2.5,16.4,2,7,1.6,23.9,1.9,30.7,2.2
East Bend,2.8,1.9,0,3.9,6.4,7.5,8,5.9,5.2,7.1,3.9,3.4,1.3,1.8,4.8,4.7,9.3,7.7,1.2,1.7,3.6,4.1,12.8,8,12.5,6.5,11.5,6.1,8,6.2,5,4,2.3,2.5,1.2,1.7,0,5,5.1,6.7,47.9,12,16.7,8.8,6.4,3.9,16.5,10,7.3,5.8
Harwood,5.5,3.8,5.1,2.7,10.3,5,6.5,3.9,6.5,3.8,3,2,3.2,2.3,2.5,1.6,8.5,3.5,9,6,7.6,4.2,6.2,2.8,4.7,2.8,4.6,2.5,0.8,1,2.4,1.7,4.6,5.4,9.2,9.9,4.1,2.7,11.7,7.7,36.3,6.8,16.5,5.5,5.3,4.4,20.5,6.9,5.7,3.2
Hensley,5.9,4.6,15.4,9.5,7.4,5.8,3.3,3,2.8,3.2,2,2.3,6.5,5,7.5,5.3,4.5,5.5,1.1,2,5.7,4.9,6.5,4.8,10.1,6.2,10.3,5,4.1,3.2,1.6,1.7,2.5,2.3,2.9,5.1,0,3.7,4.4,4.4,38.2,10.5,19.5,8.8,7.4,5.5,20.6,10.5,10,6.2
Kerr,5.4,6.1,7.5,5.5,6.2,6.9,12.9,10.1,9.5,11.1,2.5,3.2,2.5,2.8,9.1,7.7,10.4,7.9,13.3,15.1,10,9.8,2.9,4.6,4.1,5.4,2.5,3.7,0,10.8,0,10.8,1.2,1.8,0,10.8,0,17.6,0,17.6,24.1,13.3,35.5,11.5,9.2,6.9,24.1,17.7,7.1,8.2
Ludlow,7.5,3.4,8.5,5.7,3.1,1.8,7.3,3.1,4.3,2.3,9.8,4.4,4.5,2.2,7.7,3.3,7.8,3.3,5.7,2.7,8.1,3.5,4.2,2.1,4.4,2.2,5.6,2.5,2.1,1.5,3.7,2.6,2.9,2.2,3,1.8,0.4,0.4,6.6,3.5,39.2,7,26.7,7.4,5.6,2.4,9.9,4.4,11.6,5.4
Mahomet,7.5,1.9,8.2,2.1,6.3,1.7,7.9,1.7,6.2,1.9,3.6,1.3,7.5,1.9,6,1.3,7.2,1.9,6.7,1.5,5.8,1.3,8.2,2,6.8,1.6,4.3,1.1,3.3,1,1.9,0.8,0.9,0.7,1.4,1,1.5,1.1,1.6,1,19.4,3.1,21.3,3.2,10.4,2.5,26.4,4.4,19.3,3.1
Newcomb,5.5,5.3,8.7,4.2,5.7,4.1,7.5,3.8,1,1.5,3.8,3.1,7.5,4.9,4,2.2,3.3,2.7,9.4,3.7,5.9,4.4,13.3,5.5,4.7,2.8,5.5,3.1,5.3,3.1,4.7,2.7,2.5,1.6,1.8,1.7,0.9,1.3,1.2,1.4,28.7,7.8,21.3,6.8,9,4.6,19,7.8,19.9,8.7
Ogden,4.8,1.9,8.2,3.1,6.9,2.1,6,2.7,6.2,2.7,4.7,2.4,5.8,2,4.5,1.5,8.9,4.3,5.1,1.8,6.7,2.2,8,2.6,5.5,1.8,6.5,2.6,3.7,1.7,4.1,1.7,2.4,1.3,2.1,1.1,1.1,1.1,3.7,1.8,35.4,6.3,21.8,4.8,12.5,3.7,17.7,5.7,7.9,2.9
Pesotum,4.1,2.5,9.4,6.3,9.1,5.1,6.3,4.5,6.7,4.2,3.4,2.3,3.4,2,5.3,2.9,6.2,3.2,6.6,3.3,11.4,5.4,4.8,2.1,7.5,4.5,10.7,8.7,1.3,1.1,0.8,1,1.4,1,1.8,2.7,1.2,1.4,2,1.6,42.2,11.3,18.5,7.1,14.2,6,15.8,5.6,6.1,4.1
Philo,6,2.4,8.6,2.7,7.9,2.3,6.9,2.4,4.4,2.7,4.1,2.7,4.8,1.8,7.4,2.4,6.9,2.6,4.4,1.7,8.1,2.6,7.4,2.1,9.6,3.9,5.2,2.2,3.9,2.3,2.8,1.3,1.3,0.9,0,1.3,0.3,0.5,1.8,1.2,26.3,4.7,27.1,4.8,11.9,3.7,24.9,4.3,7.8,2.5
Rantoul,6.3,1.6,8.7,2.3,7.6,1.4,10.7,2.9,4.9,1.2,7.1,1.7,5.6,1.4,6.8,1.4,5.5,1.6,5.4,1.2,6,1.5,6,1.3,7.2,1.8,4.6,1.1,2.5,0.7,2.3,0.7,1.9,0.9,1.1,0.5,3.2,1.5,7.9,2.4,37.6,4,26.7,3.4,9.2,2.1,10.2,2.1,5.2,1.4
Raymond,8.1,5.8,9.6,7.2,13.4,6,1,1.2,1,1.4,2.8,2.3,16.2,12.5,11.4,9.3,4.6,5.4,1.5,1.3,6.1,4.9,5.1,3.9,5.3,3.1,2.8,3.4,4.1,3.8,3.5,4.4,3,3.8,0.5,1.1,0.8,1.2,8,6.1,42,15.4,25,10.6,13.3,10.9,8,7,3,4.5
Sadorus,5.9,4.6,2.6,2,7.9,4.4,6.3,3.8,2.7,1.9,4.2,3,3.3,2.2,3.7,2.5,14.2,9.5,7.1,5.3,7.4,5.1,9.1,5.2,5.6,2.9,10.7,7.3,3.7,2.1,2.4,1.8,1.6,1.1,1.7,1.8,2.6,2.4,8.5,5.1,32.6,10.4,26.2,8.5,16.9,7.9,10.5,5.7,2.7,1.6
St. Joseph,9,2,7.4,2.2,7.9,2.5,6.2,2,6,2.5,2.9,1.5,7.5,1.9,8.5,2.1,5.7,2,5.4,1.9,8.9,2.6,5.2,2.1,6.6,2.7,4.5,1.7,5.1,1.6,1.4,1,1,0.9,1,0.7,0.1,0.2,0.9,0.7,24.6,5.3,28,5.6,12.1,4.1,21.1,5.6,13.2,3.9
Scott,8.4,3.6,3.7,2.5,2.9,1.8,7.6,6,6.9,3.7,5.4,3.5,5.4,2.9,5.5,2.7,9.7,5.3,4.4,2.3,5.5,3.3,9.1,4.3,9.5,4.9,4.7,3.1,4.7,3.1,2.7,2.1,2,2,1.9,1.5,0.2,0.4,3.7,2.4,33.5,9.1,23.8,7.3,10.7,5.1,17.8,6.4,10.2,4.7
Sidney,5.6,0.24,8.1,1.9,10.2,2.9,4.2,2.2,6,2.6,5.9,2.6,5.4,2.4,9.4,2.9,5.2,1.8,4.8,1.7,8,3,6.1,1.9,7.4,2.2,3.9,1.8,2.5,1.7,3.5,1.6,3.5,1.6,0.4,0.4,1.4,1.1,2.9,1.8,25.7,4.8,25.4,4.6,15.3,3.4,17.7,4.4,11.5,4
Somer,6.2,4.5,2.9,3.6,0.7,1,1.7,1.9,0,3,8.2,4.7,2.9,3.1,3.8,3.6,1,1.6,2.9,3.4,10.2,4.9,18.3,10.2,11.8,6.5,8.2,4.5,9.8,4.8,7.3,4.8,2.9,3.3,1.2,2,0,3.4,2.8,3.1,40.2,10.5,23.4,8.1,13.1,6.7,17.6,7.1,2.9,2.8
South Homer,4.5,2.6,6.4,2.1,9.9,3,5.3,2,6.8,3.1,3.1,1.4,4.5,2.2,8.2,2.5,4.5,2.1,6.5,2.6,7.7,3.1,8.1,4.5,8.6,2.6,4.9,1.9,3.7,1.5,2.1,1.1,1.3,0.8,3.9,2.4,0.3,0.4,4.3,2,39.8,6.4,26.3,4.8,11.6,3.9,12.2,4.2,5.5,2.4
Stanton,3.1,2.9,7.5,5,4.2,3.3,5.8,4.9,11,9,0.7,1.1,1,1.6,5.6,3.6,8.1,5,7.3,5.3,14.4,6.7,11.4,7.4,0.8,1.3,5.2,5.2,6.8,5,5,4.4,1.8,3,0,3.5,3.3,5.5,2.7,4.4,22.8,11.9,34.2,13,11.5,8.4,17.9,9.4,7.7,7
Tolono,5.9,2,5.8,1.8,6.5,2.3,5.2,2.2,13.6,5.3,7.9,4.9,7.7,2.8,8.1,3,6.6,3.8,6,2.3,5.1,2.4,6.2,1.8,5.6,2.3,2.8,1.2,3.3,2.1,2.4,1.2,0,0.1,1.3,1.1,0.5,0.6,1.1,0.9,23.8,4.7,24.6,4.6,12.1,4.3,24.2,5.8,13.7,4.3
Urbana,6.7,1.7,6,1.6,5.9,2.5,4.5,2.4,7.3,2.2,5.2,2.1,6.6,2.4,4.8,2.3,4.7,1.8,3.4,1.5,7.4,2.1,7.3,2.8,9.5,2.6,8,2.4,7,2.6,3.3,1.2,1.4,0.8,1.2,1.1,4.4,2.3,7.5,3.2,32.2,4.7,24.6,4.5,7.6,2.7,12.6,3.8,11.1,3.4
