,Less than $100,Less than $100: MOE,$100-$149,$100-$149: MOE,$150-$199,$150-$199: MOE,$200-$249,$200-$249: MOE,$250-$299,$250-$299: MOE,$300-$349,$300-$349: MOE,$350-$399,$350-$399: MOE,$400-$449,$400-$449: MOE,$450-$499,$450-$499: MOE,$500-$549,$500-$549: MOE,$550-$599,$550-$599: MOE,$600-$649,$600-$649: MOE,$650-$699,$650-$699: MOE,$700-$749,$700-$749: MOE,$750-$799,$750-$799: MOE,$800-$899,$800-$899: MOE,$900-$999,$900-$999: MOE,$1000-$1249,$1000-$1249: MOE,$1250-$1499,$1250-$1499: MOE,$1500-$1999,$1500-$1999,$2000-$2499,$2000-$2499: MOE,$2500-$2999,$2500-$2999: MOE,$3000-$3499,$3000-$3499: MOE,$3500 or more,$3500 or more: MOE
Ayers,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
Brown,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,10,15,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
Champaign,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,22,33,0,17,0,17,0,17,0,17,0,17,29,47,29,45,30,47,32,52,0,17,0,17,9,15,0,17
City of Champaign,29,48,0,26,0,26,37,59,0,26,22,34,22,35,137,95,138,78,88,77,224,114,189,137,133,106,120,79,101,59,291,144,168,122,290,177,48,57,55,46,37,35,69,67,102,106,0,26
Colfax,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,45,69,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
Compromise,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
Condit,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
Crittenden,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
Cunningham,0,23,0,23,0,23,0,23,0,23,0,23,0,23,99,90,74,85,56,54,234,147,192,130,122,89,85,65,49,54,156,111,47,46,192,107,42,57,0,23,0,23,0,23,0,23,26,42
East Bend,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
Harwood,0,11,0,11,0,11,8,13,8,13,0,11,0,11,6,9,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
Hensley,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,26,42,0,11,0,11,44,69,0,11,0,11,0,11,0,11,0,11,0,11,0,11
Kerr,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
Ludlow,0,11,0,11,0,11,0,11,47,73,0,11,11,12,0,11,0,11,7,11,36,56,14,10,0,11,5,8,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
Mahomet,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,41,61,0,17,68,107,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
Newcomb,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
Ogden,0,11,0,11,7,11,0,11,0,11,5,7,0,11,0,11,1,3,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,6,10,0,11,0,11,0,11,0,11,0,11,0,11
Pesotum,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
Philo,0,11,0,11,0,11,0,11,0,11,0,11,9,15,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,3,4,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
Rantoul,0,17,0,17,0,17,0,17,0,17,36,58,20,30,8,12,9,14,90,82,43,50,0,17,34,46,48,44,22,33,6,12,0,17,8,12,0,17,23,35,27,42,0,17,0,17,0,17
Raymond,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
Sadorus,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,4,7,4,6,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
St. Joseph,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15
Scott,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,4,7,23,35,4,7,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
Sidney,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
Somer,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,5,7,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
South Homer,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,11,17,0,11,11,17,0,11,0,11,10,16,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
Stanton,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
Tolono,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,35,56,0,15,0,15,0,15,0,15,0,15,0,15,35,55,0,15,0,15,0,15,0,15,0,15
Urbana,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,56,65,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15
