Township,<5 (%),<5: MOE,5-9 (%),5-9: MOE,10-14 (%),10-14: MOE,15-19 (%),15-19: MOE,20-24 (%),20-24: MOE,25-29 (%),25-29: MOE,30-34 (%),30-34: MOE,35-39 (%),35-39: MOE,40-44 (%),40-44: MOE,45-49 (%),45-49: MOE,50-54 (%),50-54: MOE,55-59 (%),55-59: MOE,60-64 (%),60-64: MOE,65-69 (%),65-69: MOE,70-74 (%),70-74: MOE,75-79 (%),75-79: MOE,80-84 (%),80-84: MOE,85+ (%),85+: MOE,Less than 9th grade,Less than 9th grade: MOE,"9th-12th grade, no diploma","9th-12th grade, no diploma: MOE",High school graduate or equivalency,Native - Estimate,Native - MOE,Foreign Born - Estimate,Foreign Born - MOE,Foreign Born, Naturalized Citizen - Estimate,Foreign Born, Naturalized Citizen - MOE,Average Household Size,Average Household Size: MOE,Average Family Size,Average Family Size: MOE,"Less than $10,000","$10,000-$14,999","$15,000-$19,999","$20,000-$24,999","$25,000-$29,999","$30,000-$34,999","$35,000-$39,999","$40,000-$44,999","$45,000-$49,999","$50,000-$59,999","$60,000-$74,999","$75,000-$99,999","$100,000-$124,999","$125,000-$149,999","$150,000-$199,999","$200,000 or more","Less than $10,000 (MOE)","$10,000-$14,999 (MOE)","$15,000-$19,999 (MOE)","$20,000-$24,999 (MOE)","$25,000-$29,999 (MOE)","$30,000-$34,999 (MOE)","$35,000-$39,999 (MOE)","$40,000-$44,999 (MOE)","$45,000-$49,999 (MOE)","$50,000-$59,999 (MOE)","$60,000-$74,999 (MOE)","$75,000-$99,999 (MOE)","$100,000-$124,999 (MOE)","$125,000-$149,999 (MOE)","$150,000-$199,999 (MOE)","$200,000 or more (MOE)",Owner-Occupied,Owner-Occupied: MOE,Renter-Occupied,Renter-Occupied: MOE,Speaking Only English,Speaking Only English MOE,Speaking a Language Other than English at Home,Speaking a Language Other than English at Home MOE,Mean Travel Time to Work (Minutes),Mean Travel Time to Work (Minutes): MOE,"Car, truck, or van",Drove alone,Carpooled,Public transportation,Walked,Bicycle,"Taxicab, motorcycle, or other",Worked at home,"Car, truck, or van (MOE)",Drove alone (MOE),Carpooled (MOE),Public transportation (MOE),Walked (MOE),Bicycle (MOE),"Taxicab, motorcycle, or other (MOE)",Worked at home (MOE),"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"Agriculture, forestry, fishing and hunting, and mining (MOE)",Construction (MOE),Manufacturing (MOE),Wholesale trade (MOE),Retail trade (MOE),"Transportation and warehousing, and utilities (MOE)",Information (MOE),"Finance and insurance, and real estate and rental and leasing (MOE)","Professional, scientific, and management, and administrative and waste management services (MOE)","Educational services, and health care and social assistance (MOE)","Arts, entertainment, and recreation, and accommodation and food services (MOE)","Other services, except public administration (MOE)",Public administration (MOE),"Less than $10,000","$10,000-$14,999","$15,000-$19,999","$20,000-$24,999","$25,000-$29,999","$30,000-$34,999","$35,000-$39,999","$40,000-$44,999","$45,000-$49,999","$50,000-$59,999","$60,000-$74,999","$75,000-$99,999","$100,000-$124,999","$125,000-$149,999","$150,000-$199,999","$200,000 or more","Less than $10,000 (MOE)","$10,000-$14,999 (MOE)","$15,000-$19,999 (MOE)","$20,000-$24,999 (MOE)","$25,000-$29,999 (MOE)","$30,000-$34,999 (MOE)","$35,000-$39,999 (MOE)","$40,000-$44,999 (MOE)","$45,000-$49,999 (MOE)","$50,000-$59,999 (MOE)","$60,000-$74,999 (MOE)","$75,000-$99,999 (MOE)","$100,000-$124,999 (MOE)","$125,000-$149,999 (MOE)","$150,000-$199,999 (MOE)","$200,000 or more (MOE)",Median Household Income ($),Median Household Income ($): MOE,Median Family Income ($),Median Family Income ($): MOE,Per Capita Income ($),Per Capita Income ($): MOE,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,Assessed population,Assessed population: MOE,Percent below poverty (%),Percent below poverty (%): MOE,Total Population,Total Population: MOE,White Alone,White Alone: MOE,Black or African American Alone,Black or African American Alone: MOE,American Indian and Alaska Native Alone,American Indian and Alaska Native Alone: MOE,Asian Alone,Asian Alone: MOE,Native Hawaiian and Other Pacific Islander Alone,Native Hawaiian and Other Pacific Islander Alone: MOE,Some Other Race Alone,Some Other Race Alone: MOE,Two or More Races,Two or More Races: MOE,Hispanic or Latino,Hispanic or Latino: MOE,Not Hispanic or Latino,Not Hispanic or Latino: MOE,Less than $100,Less than $100: MOE,$100-$149,$100-$149: MOE,$150-$199,$150-$199: MOE,$200-$249,$200-$249: MOE,$250-$299,$250-$299: MOE,$300-$349,$300-$349: MOE,$350-$399,$350-$399: MOE,$400-$449,$400-$449: MOE,$450-$499,$450-$499: MOE,$500-$549,$500-$549: MOE,$550-$599,$550-$599: MOE,$600-$649,$600-$649: MOE,$650-$699,$650-$699: MOE,$700-$749,$700-$749: MOE,$750-$799,$750-$799: MOE,$800-$899,$800-$899: MOE,$900-$999,$900-$999: MOE,$1000-$1249,$1000-$1249: MOE,$1250-$1499,$1250-$1499: MOE,$1500-$1999,$1500-$1999,$2000-$2499,$2000-$2499: MOE,$2500-$2999,$2500-$2999: MOE,$3000-$3499,$3000-$3499: MOE,$3500 or more,$3500 or more: MOE,"Less than $10,000","Less than $10,000: MOE","$10,000-$14,999","$10,000-$14,999: MOE","$15,000-$19,999","$15,000-$19,999: MOE","$20,000-$24,999","$20,000-$24,999: MOE","$25,000-$29,999","$25,000-$29,999: MOE","$30,000-$34,999","$30,000-$34,999: MOE","$35,000-$39,999","$35,000-$39,999: MOE","$40,000-$49,999","$40,000-$49,999: MOE","$50,000-$59,999","$50,000-$59,999: MOE","$60,000-$69,999","$60,000-$69,999: MOE","$70,000-$79,999","$70,000-$79,999: MOE","$80,000-$89,999","$80,000-$89,999: MOE","$90,000-$99,999","$90,000-$99,999: MOE","$100,000-$124,999","$100,000-$124,999: MOE","$125,000-$149,999","$125,000-$149,999: MOE","$150,000-$174,999","$150,000-$174,999: MOE","$175,000-$199,999","$175,000-$199,999: MOE","$200,000-$249,999","$200,000-$249,999: MOE","$250,000-$299,999","$250,000-$299,999: MOE","$300,000-$399,999","$300,000-$399,999: MOE","$400,000-$499,999","$400,000-$499,999: MOE","$500,000-$749,999","$500,000-$749,999: MOE","$750,000-$999,999","$750,000-$999,999: MOE","$1,000,000-$1,499,999","$1,000,000-$1,499,999: MOE","$1,500,000-$1,999,999","$1,500,000-$1,999,999: MOE","$2,000,000 or more","$2,000,000 or more: MOE"
Ayers,2.9,2.3,4.6,3.3,4.8,2.4,7.3,3.3,6.5,4.2,3.5,2.1,5.4,2.3,6.5,3.3,5.4,3.2,4.8,2.6,5.8,2.8,6,3.1,10.4,5.7,13.5,6.1,2.3,1.5,5.2,4.7,4.6,4.9,0.4,0.9,0,7.4,1.7,2,41.7,475,87,5,6,0,11,5,6,2.41,0.3,0.79,0.33,11,8,4,6,14,9,12,2,7,17,31,28,20,4,8,18,9,10,6,9,14,7,12,6,6,15,17,17,14,7,9,16,183,33,16,13,453,85,13,11,31,4.3,77.2,65.8,11.4,0,2.3,0,0,20.5,12.7,13,6.7,11.8,2.8,11.8,11.8,13.1,23.2,11.6,2.7,0.9,14.3,3.6,0.9,7.6,3.6,21.4,2.7,0.9,6.7,12.8,6.9,3.4,1.4,8.3,2.7,1.3,5.9,4.2,8.6,2.4,2.3,5.3,9,1,0,6,9,8,12,0,6,5,18,22,21,3,3,18,9,4,11,9,13,7,12,11,5,10,10,16,14,5,4,16,63594,18653,70417,12144,42674,15879,865,929,789,747,679,636,571,504,503,481,441,453,470,83,15.3,9.3,480,87,475,87,1,3,0,11,3,4,0,11,0,11,1,2,9,13,471,84,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,2,3,10,13,1,3,0,11,7,10,5,7,5,7,2,3,22,13,7,5,7,7,20,14,14,9,32,19,12,11,15,12,9,12,4,4,0,11,0,11,8,11,0,11,1,2,0,11,0,11,0,11
Brown,8.8,2.6,9.2,2.3,8,2.1,5.4,2.3,8.8,3.6,8.7,2.6,4.6,1.5,6.8,2.7,6.2,1.8,6.4,2.6,5.4,1.7,3.7,1.6,4.4,2.1,3.1,1.3,3,1.9,3.7,1.7,1.5,0.9,2.2,1.3,0.7,0.6,2.4,1.6,33.9,1927,288,22,14,12,9,10,11,2.73,0.21,3.08,0.22,0,22,22,38,36,54,47,48,55,48,98,99,69,41,15,23,11,11,21,32,25,31,28,21,34,31,34,44,29,24,13,11,556,83,159,61,1758,264,19,17,22.5,1.9,93.8,84.7,9.1,0,1.2,0.3,0,4.7,3.4,4.1,2.8,2.7,1.3,0.4,2.7,2.9,3.6,12.3,14.9,1.8,11.2,5.5,2.5,5.9,2.6,23.5,7.2,5,4.1,2.3,4.5,4,1.4,4.5,3,2.3,2.6,1.4,5,3.9,2.3,2.5,7,9,0,17,20,21,41,35,63,34,72,66,66,37,15,23,11,11,11,19,12,16,29,21,38,24,30,28,29,23,13,11,58162,10504,66750,7524,26458,2112,1544,1396,1551,1376,1414,1480,1611,1837,1616,1488,1495,1955,1942,289,6.9,3.9,1949,290,1903,279,7,9,0,11,2,5,0,11,0,11,37,28,42,40,1907,286,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,10,15,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,16,18,14,20,0,11,2,3,1,2,2,3,6,6,28,24,23,26,9,7,20,12,26,16,28,17,81,38,86,31,80,28,40,22,54,28,18,15,22,19,0,11,0,11,0,11,0,11,0,11,0,11
Champaign,7.2,1.5,5.4,1.5,5.4,1.2,4.5,1.3,6.6,2.3,6.2,1.3,8.7,1.6,7.2,1.6,4.9,1.1,5.5,1.3,4.6,1.2,5,1.3,7.4,1.4,6.3,1.3,4.8,1,4.7,1.1,2.1,0.6,3.5,1.2,1.3,0.9,1.9,0.9,12.2,9533,277,1736,280,637,169,1099,260,2.32,0.09,3.01,0.13,269,229,245,233,183,166,129,126,101,321,408,654,634,335,421,348,93,101,116,84,79,71,60,64,47,114,106,119,135,70,107,97,3162,182,1640,183,8290,338,2169,314,17.5,1.3,89.7,80.3,9.4,3,1.3,0.3,1.5,4.2,2.8,3.4,2.6,1.5,0.8,0.5,1.6,2,1.6,2,6.7,3.6,8.9,3.3,3.7,6,8.7,42.2,6.6,3.3,3.5,1.2,0.8,2.2,1.9,2.8,1.4,1.6,1.7,2,3.7,2.1,1.4,1.7,91,28,99,79,46,40,52,54,46,204,251,476,455,280,372,279,67,30,97,47,32,34,26,34,30,87,71,96,108,66,97,74,74541,6820,98824,5439,39241,2722,9966,13353,16942,2116,2294,5457,2705,6592,8184,8864,11591,10834,11130,106,9.1,2.7,11269,52,8614,316,486,193,0,17,1686,282,0,17,55,54,428,166,678,319,10591,320,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,22,33,0,17,0,17,0,17,0,17,0,17,29,47,29,45,30,47,32,52,0,17,0,17,9,15,0,17,49,30,10,14,12,19,8,12,0,17,0,17,0,17,0,17,0,17,0,17,21,23,45,35,70,50,158,76,207,72,323,96,500,94,886,134,381,95,269,74,106,36,86,36,15,15,8,11,0,17,8,13
City of Champaign,5.5,0.5,4.8,0.4,4.3,0.5,9.9,0.6,21.4,0.8,9.5,0.6,6.9,0.4,6.4,0.5,3.8,0.4,4.6,0.4,4.8,0.4,4.7,0.4,4.5,0.4,2.7,0.3,2,0.3,1.7,0.3,1.2,0.3,1.2,0.2,1.7,0.4,2.9,0.5,17.5,73692,890,12018,889,3715,462,8303,934,2.3,0.04,3.08,0.07,5769,1629,1498,2240,1275,1555,1404,1650,1226,2522,3303,2942,2134,1438,1208,2041,466,244,264,407,259,303,253,315,224,387,389,332,262,260,206,248,15158,508,18676,614,64365,1014,16631,925,15.7,0.5,73.8,65.3,8.5,8,10.6,2.7,0.8,4.2,1.7,1.9,1.1,1,1.1,0.6,0.3,0.7,0.5,2.4,6.1,2.5,9.9,3.5,2.8,5.4,8.5,40.2,12.2,4.1,1.8,0.2,0.5,0.8,0.6,1.1,0.7,0.5,0.8,1,1.5,1.3,0.9,0.4,864,249,588,578,270,609,463,520,621,1260,1916,1915,1647,1114,1028,1744,203,108,188,174,91,160,133,198,183,275,279,260,246,250,174,222,44638,1881,73688,1994,28406,1253,-,-,-,19151,21957,35935,49583,56837,58133,63502,67959,81055,77991,446,26.9,1.7,85710,42,56350,826,15137,842,90,61,10634,613,0,26,987,328,2512,531,5489,523,80221,528,29,48,0,26,0,26,37,59,0,26,22,34,22,35,137,95,138,78,88,77,224,114,189,137,133,106,120,79,101,59,291,144,168,122,290,177,48,57,55,46,37,35,69,67,102,106,0,26,135,62,118,63,26,31,32,34,8,13,35,32,93,62,174,91,157,77,327,94,338,112,487,145,607,141,2407,356,2063,303,2150,283,1333,243,1659,239,880,196,1196,203,382,104,354,92,94,63,103,70,0,26,0,26
Colfax,0,27.1,0,27.1,0,27.1,0,27.1,0,27.1,0,27.1,0,27.1,0,27.1,0,27.1,0,27.1,16.5,33.9,43.5,53.4,18.8,21.4,21.2,22.9,0,27.1,0,27.1,0,27.1,0,27.1,0,27.1,0,27.1,0,85,70,0,11,0,11,0,11,1.67,0.44,1.92,0.24,0,14,0,0,0,0,0,0,0,0,0,0,37,0,0,0,11,21,11,11,11,11,11,11,11,11,11,11,39,11,11,11,51,37,0,11,85,70,0,11,N/A,N/A,100,100,0,0,0,0,0,0,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,0,16.5,0,0,0,40,0,0,22.4,21.2,0,0,0,27.1,33.9,27.1,27.1,27.1,43.4,27.1,27.1,27.1,26.5,27.1,27.1,27.1,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,11,11,11,11,11,11,11,11,11,11,11,11,39,11,11,11,101513,80732,N/A,N/A,45553,13865,901,800,727,728,590,528,459,412,355,271,250,266,85,70,16.5,33.9,85,70,85,70,0,11,0,11,0,11,0,11,0,11,0,11,18,26,67,54,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,45,69,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,14,21,0,11,0,11,0,11,19,28,18,26,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
